Date,Open,High,Low,Close,Volume
,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
2020-12-31,717.5,722.0,712.5250244140625,718.1500244140625,22145750
2021-01-01,720.0,721.5,710.2999877929688,712.5250244140625,8810938
2021-01-04,719.0,719.0,699.5,708.0,15740192
2021-01-05,709.5999755859375,715.375,704.5,713.3499755859375,14386824
2021-01-06,717.5,720.0,706.5499877929688,710.2750244140625,22134050
2021-01-07,716.25,716.2999877929688,706.2750244140625,708.125,19894842
2021-01-08,716.0,721.0,711.5499877929688,715.8250122070312,13768764
2021-01-11,725.0,732.4500122070312,718.1500244140625,725.7249755859375,17331392
2021-01-12,726.2249755859375,743.8499755859375,724.5499877929688,740.5,20388156
2021-01-13,746.4500122070312,748.4500122070312,731.0499877929688,735.3250122070312,16934650
2021-01-14,735.5750122070312,744.0,728.0,734.375,12297166
2021-01-15,734.5499877929688,735.8250122070312,722.5,733.3250122070312,14165236
2021-01-18,734.9500122070312,751.4249877929688,733.5,741.5499877929688,42825632
2021-01-19,745.9000244140625,755.8250122070312,733.5,751.9249877929688,17360254
2021-01-20,750.5,750.5,743.0,746.0,13346052
2021-01-21,746.0,747.1749877929688,734.0750122070312,737.4000244140625,26333054
2021-01-22,733.9500122070312,733.9500122070312,720.0750122070312,721.7750244140625,15392364
2021-01-25,732.5499877929688,740.5,727.5750122070312,731.4249877929688,20344718
2021-01-27,734.0,735.9500122070312,703.0750122070312,704.7999877929688,23556276
2021-01-28,694.9500122070312,700.6500244140625,671.0,685.7249755859375,42704446
2021-01-29,695.6749877929688,704.375,682.25,695.25,28704502
2021-02-01,705.125,741.25,700.5,738.375,26370544
2021-02-02,750.5,789.25,748.7000122070312,780.2750244140625,42420206
2021-02-03,789.5,790.8499755859375,771.0,787.4000244140625,20237254
2021-02-04,783.0,794.0,771.7249755859375,789.5499877929688,24484684
2021-02-05,774.0,809.125,774.0,798.7999877929688,27054716
2021-02-08,810.0,815.8250122070312,797.8499755859375,802.625,17447580
2021-02-09,805.0,814.0,793.3499755859375,805.9249877929688,18421366
2021-02-10,804.1749877929688,807.4249877929688,783.5,790.875,19788006
2021-02-11,791.0,798.9000244140625,782.0999755859375,786.1749877929688,13648618
